variant,repeat,fold,status,message
Single best rule,4,2,succeeded,
Full EBRO-MH,4,3,succeeded,
Uniform prior,4,3,succeeded,
Raw LLM confidence,4,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,4,3,succeeded,
Single best rule,4,3,succeeded,
Full EBRO-MH,4,4,succeeded,
Uniform prior,4,4,succeeded,
Raw LLM confidence,4,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,4,4,succeeded,
Single best rule,4,4,succeeded,
Full EBRO-MH,4,5,succeeded,
Uniform prior,4,5,succeeded,
Raw LLM confidence,4,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,4,5,succeeded,
Single best rule,4,5,succeeded,
Full EBRO-MH,5,1,succeeded,
Uniform prior,5,1,succeeded,
Raw LLM confidence,5,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,5,1,succeeded,
Single best rule,5,1,succeeded,
Full EBRO-MH,5,2,succeeded,
Uniform prior,5,2,succeeded,
Raw LLM confidence,5,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,5,2,succeeded,
Single best rule,5,2,succeeded,
Full EBRO-MH,5,3,succeeded,
Uniform prior,5,3,succeeded,
Raw LLM confidence,5,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,5,3,succeeded,
Single best rule,5,3,succeeded,
Full EBRO-MH,5,4,succeeded,
Uniform prior,5,4,succeeded,
Raw LLM confidence,5,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,5,4,succeeded,
Single best rule,5,4,succeeded,
Full EBRO-MH,5,5,succeeded,
Uniform prior,5,5,succeeded,
Raw LLM confidence,5,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,5,5,succeeded,
Single best rule,5,5,succeeded,
Full EBRO-MH,6,1,succeeded,
Uniform prior,6,1,succeeded,
Raw LLM confidence,6,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,6,1,succeeded,
Single best rule,6,1,succeeded,
Full EBRO-MH,6,2,succeeded,
Uniform prior,6,2,succeeded,
Raw LLM confidence,6,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,6,2,succeeded,
Single best rule,6,2,succeeded,
Full EBRO-MH,6,3,succeeded,
Uniform prior,6,3,succeeded,
Raw LLM confidence,6,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,6,3,succeeded,
Single best rule,6,3,succeeded,
Full EBRO-MH,6,4,succeeded,
Uniform prior,6,4,succeeded,
Raw LLM confidence,6,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,6,4,succeeded,
Single best rule,6,4,succeeded,
Full EBRO-MH,6,5,succeeded,
Uniform prior,6,5,succeeded,
Raw LLM confidence,6,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,6,5,succeeded,
Single best rule,6,5,succeeded,
Full EBRO-MH,7,1,succeeded,
Uniform prior,7,1,succeeded,
Raw LLM confidence,7,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,7,1,succeeded,
Single best rule,7,1,succeeded,
Full EBRO-MH,7,2,succeeded,
Uniform prior,7,2,succeeded,
Raw LLM confidence,7,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,7,2,succeeded,
Single best rule,7,2,succeeded,
Full EBRO-MH,7,3,succeeded,
Uniform prior,7,3,succeeded,
Raw LLM confidence,7,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,7,3,succeeded,
Single best rule,7,3,succeeded,
Full EBRO-MH,7,4,succeeded,
Uniform prior,7,4,succeeded,
Raw LLM confidence,7,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,7,4,succeeded,
Single best rule,7,4,succeeded,
Full EBRO-MH,7,5,succeeded,
Uniform prior,7,5,succeeded,
Raw LLM confidence,7,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,7,5,succeeded,
Single best rule,7,5,succeeded,
Full EBRO-MH,8,1,succeeded,
Uniform prior,8,1,succeeded,
Raw LLM confidence,8,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,8,1,succeeded,
Single best rule,8,1,succeeded,
Full EBRO-MH,8,2,succeeded,
Uniform prior,8,2,succeeded,
Raw LLM confidence,8,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,8,2,succeeded,
Single best rule,8,2,succeeded,
Full EBRO-MH,8,3,succeeded,
Uniform prior,8,3,succeeded,
Raw LLM confidence,8,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,8,3,succeeded,
Single best rule,8,3,succeeded,
Full EBRO-MH,8,4,succeeded,
Uniform prior,8,4,succeeded,
Raw LLM confidence,8,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,8,4,succeeded,
Single best rule,8,4,succeeded,
Full EBRO-MH,8,5,succeeded,
Uniform prior,8,5,succeeded,
Raw LLM confidence,8,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,8,5,succeeded,
Single best rule,8,5,succeeded,
Full EBRO-MH,9,1,succeeded,
Uniform prior,9,1,succeeded,
Raw LLM confidence,9,1,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,9,1,succeeded,
Single best rule,9,1,succeeded,
Full EBRO-MH,9,2,succeeded,
Uniform prior,9,2,succeeded,
Raw LLM confidence,9,2,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,9,2,succeeded,
Single best rule,9,2,succeeded,
Full EBRO-MH,9,3,succeeded,
Uniform prior,9,3,succeeded,
Raw LLM confidence,9,3,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,9,3,succeeded,
Single best rule,9,3,succeeded,
Full EBRO-MH,9,4,succeeded,
Uniform prior,9,4,succeeded,
Raw LLM confidence,9,4,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,9,4,succeeded,
Single best rule,9,4,succeeded,
Full EBRO-MH,9,5,succeeded,
Uniform prior,9,5,succeeded,
Raw LLM confidence,9,5,skipped,only 0 valid rules were generated for 20 particles
Without MH rejuvenation,9,5,succeeded,
Single best rule,9,5,succeeded,
